"﻿Punto","Este","Norte"
"418","809923,383","1513024,68"
"419","809917,902","1513016,76"
"420","809917,308","1513015,9"
"421","809912,796","1513009,41"
"422","809912,121","1513008,47"
"423","809908,709","1513003,76"
"424","809906,428","1513000,43"
"425","809900,835","1512992,33"
"426","809900,469","1512991,77"
"427","809895,572","1512984,21"
"428","809890,625","1512975,9"
"429","809885,762","1512967,57"
"430","809882,121","1512960,9"
"431","809881,094","1512959,08"
"432","809881,052","1512959,01"
"433","809876,095","1512950,66"
"434","809871,019","1512942,49"
"435","809866,533","1512934,29"
"436","809862,738","1512925,64"
"437","809858,938","1512916,74"
"438","809858,751","1512916,35"
"439","809854,288","1512907,98"
"440","809850,987","1512899,32"
"441","809848,151","1512890,19"
"442","809845,364","1512880,95"
"443","809842,886","1512871,76"
"444","809840,987","1512862,42"
"445","809839,961","1512856,77"
"446","809839,308","1512852,95"
"447","809837,765","1512843,39"
"448","809836,37","1512833,88"
"449","809835,28","1512824,36"
"450","809834,472","1512814,8"
"451","809833,894","1512805,24"
"452","809833,699","1512795,68"
"453","809833,767","1512786,12"
"454","809834,21","1512776,55"
"455","809834,859","1512766,89"
"456","809835,417","1512757,57"
"457","809837,449","1512748,43"
"458","809837,492","1512748,21"
"459","809837,568","1512747,42"
"460","809837,625","1512743,91"
"461","809838,597","1512738,59"
"462","809838,675","1512737,71"
"463","809838,659","1512737,31"
"464","809837,929","1512728,19"
"465","809840,257","1512719,82"
"466","809844,024","1512710,82"
"467","809844,109","1512710,6"
"468","809844,282","1512710,01"
"469","809846,512","1512700,36"
"470","809846,548","1512700,19"
"471","809848,41","1512690,63"
"472","809849,185","1512687,9"
"473","809851,048","1512681,14"
"474","809851,101","1512680,93"
"475","809853,144","1512672,01"
"476","809853,178","1512671,85"
"477","809853,323","1512671,11"
"478","809855,612","1512661,41"
"479","809855,648","1512661,25"
"480","809857,641","1512651,28"
"481","809859,638","1512641,15"
"482","809859,684","1512640,86"
"483","809860,976","1512630,57"
"484","809861,015","1512629,95"
"485","809860,963","1512629,23"
"486","809859,511","1512619,27"
"487","809860,557","1512612,29"
"488","809861,129","1512611,06"
"489","809861,418","1512610,28"
"490","809861,572","1512609,46"
"491","809862,639","1512598,97"
"492","809862,662","1512598,64"
"493","809863,035","1512588,1"
"494","809863,038","1512587,92"
"495","809863,031","1512587,66"
"496","809862,485","1512577,12"
"497","809862,426","1512576,57"
"498","809860,728","1512566,2"
"499","809859,248","1512555,85"
"500","809857,818","1512545,45"
"501","809857,788","1512545,26"
"502","809857,706","1512544,88"
"503","809855,098","1512534,77"
"504","809852,818","1512524,59"
"505","809852,74","1512524,29"
"506","809849,805","1512514,18"
"507","809849,698","1512513,85"
"508","809846,046","1512503,96"
"509","809845,959","1512503,74"
"510","809841,851","1512494,05"
"511","809841,744","1512493,82"
"512","809837,119","1512484,31"
"513","809832,296","1512474,91"
"514","809832,159","1512474,67"
"515","809826,75","1512465,61"
"516","809826,69","1512465,52"
"517","809826,239","1512464,8"
"518","809820,986","1512456,64"
"519","809820,848","1512456,43"
"520","809814,739","1512447,9"
"521","809814,67","1512447,81"
"522","809808,365","1512439,42"
"523","809808,235","1512439,25"
"524","809801,563","1512431,12"
"525","809801,48","1512431,02"
"526","809794,571","1512423,11"
"527","809794,414","1512422,94"
"528","809787,138","1512415,36"
"529","809786,955","1512415,18"
"530","809779,272","1512407,95"
"531","809771,482","1512400,82"
"532","809771,319","1512400,68"
"533","809771,214","1512400,59"
"534","809762,965","1512394,04"
"535","809762,764","1512393,89"
"536","809754,193","1512387,76"
"537","809754,049","1512387,66"
"538","809745,266","1512381,84"
"539","809744,993","1512381,67"
"540","809735,835","1512376,43"
"541","809726,677","1512371,19"
"542","809726,421","1512371,06"
"543","809716,968","1512366,35"
"544","809716,734","1512366,25"
"545","809713,428","1512364,81"
"546","809713,304","1512364,76"
"547","809706,871","1512362,16"
"548","809706,762","1512362,12"
"549","809697,002","1512358,45"
"550","809687,307","1512354,71"
"551","809687,028","1512354,62"
"552","809677,197","1512351,58"
"553","809669,729","1512349,35"
"554","809667,465","1512348,65"
"555","809657,775","1512345,76"
"556","809655,442","1512345,07"
"557","809648,112","1512342,95"
"558","809641,147","1512341,03"
"559","809638,609","1512340,36"
"560","809629,404","1512336,94"
"561","809620,031","1512333,62"
"562","809610,824","1512329,87"
"563","809610,648","1512329,8"
"564","809610,024","1512329,62"
"565","809600,575","1512327,52"
"566","809591,473","1512324,16"
"567","809591,245","1512324,08"
"568","809581,698","1512321,09"
"569","809581,13","1512320,95"
"570","809571,566","1512319,15"
"571","809562,323","1512316,19"
"572","809552,789","1512313,19"
"573","809543,221","1512310,12"
"574","809533,605","1512307,23"
"575","809524,053","1512304,31"
"576","809514,433","1512301,4"
"577","809504,788","1512298,65"
"578","809495,257","1512295,9"
"579","809485,832","1512292,87"
"580","809476,36","1512289,71"
"581","809476,045","1512289,62"
"582","809466,368","1512287,08"
"583","809466,199","1512287,04"
"584","809456,521","1512284,87"
"585","809446,922","1512282,31"
"586","809440,963","1512280,8"
"587","809440,603","1512280,72"
"588","809439,735","1512280,65"
"589","809438,867","1512280,72"
"590","809438,025","1512280,95"
"591","809437,235","1512281,32"
"592","809436,521","1512281,82"
"593","809435,905","1512282,43"
"594","809435,405","1512283,15"
"595","809435,037","1512283,94"
"596","809434,928","1512284,27"
"597","809434,038","1512287,39"
"598","809395,725","1512276,29"
"599","809396,552","1512273,4"
"600","809396,669","1512272,89"
"601","809396,745","1512272,03"
"602","809396,669","1512271,16"
"603","809396,443","1512270,32"
"604","809396,075","1512269,53"
"605","809395,575","1512268,81"
"606","809394,959","1512268,2"
"607","809394,245","1512267,7"
"608","809393,455","1512267,33"
"609","809392,613","1512267,1"
"610","809392,072","1512267,05"
"611","809390,185","1512266,66"
"612","809389,125","1512266,38"
"613","809388,254","1512266,14"
"614","809380,117","1512263,08"
"615","809370,65","1512259,69"
"616","809370,504","1512259,64"
"617","809360,985","1512256,56"
"618","809360,313","1512256,39"
"619","809360,039","1512256,35"
"620","809350,687","1512255,23"
"621","809342,044","1512251,56"
"622","809336,005","1512249,07"
"623","809335,806","1512248,99"
"624","809335,415","1512248,87"
"625","809333,171","1512248,25"
"626","809332,168","1512247,94"
"627","809330,835","1512247,54"
"628","809322,413","1512245,17"
"629","809312,733","1512242,54"
"630","809303,074","1512239,94"
"631","809302,808","1512239,88"
"632","809293,077","1512237,81"
"633","809286,566","1512236,23"
"634","809286,248","1512236,16"
"635","809285,38","1512236,08"
"636","809284,512","1512236,16"
"637","809283,67","1512236,38"
"638","809282,88","1512236,75"
"639","809282,166","1512237,25"
"640","809281,55","1512237,87"
"641","809281,117","1512238,49"
"642","809273,09","1512236,12"
"643","809272,964","1512236,08"
"644","809263,295","1512233,49"
"645","809253,911","1512231,02"
"646","809253,619","1512230,9"
"647","809253,696","1512230,72"
"648","809253,922","1512229,88"
"649","809253,998","1512229,01"
"650","809253,922","1512228,14"
"651","809253,696","1512227,3"
"652","809253,328","1512226,51"
"653","809252,828","1512225,79"
"654","809252,212","1512225,18"
"655","809251,498","1512224,68"
"656","809251,17","1512224,5"
"657","809250,209","1512224,04"
"658","809249,635","1512223,74"
"659","809248,572","1512223,16"
"660","809248,194","1512222,91"
"661","809244,227","1512220,3"
"662","809243,969","1512220,13"
"663","809240,027","1512217,84"
"664","809236,714","1512215,4"
"665","809233,064","1512212,45"
"666","809229,715","1512209,75"
"667","809226,342","1512206,49"
