Año,Municipio,rango tamaño predial,cantidad de predios,área (Ha),cantidad de propietarios,área(Ha)/propetario
2013,Sahagún,"A1.Hasta 0,5 ha",1593,292.44250000000017,1678,0.17428039332538747
2013,Sahagún,"A2.Mayor a 0,5 ha - hasta 1 ha",460,416.32090000000005,525,0.79299219047619063
2013,Sahagún,"A3.Mayor a 1 ha - hasta 2,5 ha",1152,2230.2972000000013,1311,1.7012183066361566
2013,Sahagún,"A4.Mayor a 2,5 ha - hasta 3 ha",349,1010.9903999999998,406,2.4901241379310339
2013,Sahagún,B1.Mayor a 3 ha - hasta 5 ha,1170,4784.5503000000108,1420,3.3694016197183174
2013,Sahagún,B2.Mayor a 5 ha - hasta 10 ha,1419,9930.3051000000123,1683,5.900359536541897
2013,Sahagún,C1.Mayor a 10 ha - hasta 20 ha,1038,14587.450199999999,1458,10.005109876543209
2013,Sahagún,D1.Mayor a 20 ha - hasta 50 ha,686,21567.890999999963,994,21.698079476861128
2013,Sahagún,D2.Mayor a 50 ha - hasta 100 ha,236,16330.094599999988,322,50.714579503105554
2013,Sahagún,D3.Mayor a 100 ha - hasta 200 ha,85,11732.050499999974,117,100.27393589743568
2013,Sahagún,E1.Mayor a 200 ha - hasta 500 ha,35,10340.586999999983,53,195.10541509433929
2013,Sahagún,E2.Mayor a 500 ha - hasta 1000 ha,1,814.58500000000004,1,814.58500000000004
2013,Sahagún,E3.Mayor a 1000 ha - hasta 2000 ha,1,1188.1344999999901,6,198.02241666666501
2013,San Andrés de Sotavento,"A1.Hasta 0,5 ha",606,259.19900000000013,620,0.41806290322580664
2013,San Andrés de Sotavento,"A2.Mayor a 0,5 ha - hasta 1 ha",311,423.30259999999981,321,1.3186996884735196
2013,San Andrés de Sotavento,"A3.Mayor a 1 ha - hasta 2,5 ha",554,1412.570299999998,590,2.3941869491525392
2013,San Andrés de Sotavento,"A4.Mayor a 2,5 ha - hasta 3 ha",151,587.77369999999962,167,3.519602994011974
2013,San Andrés de Sotavento,B1.Mayor a 3 ha - hasta 5 ha,378,1723.1841000000002,429,4.016746153846154
2013,San Andrés de Sotavento,B2.Mayor a 5 ha - hasta 10 ha,412,3030.8990999999987,552,5.4907592391304325
2013,San Andrés de Sotavento,C1.Mayor a 10 ha - hasta 20 ha,212,2774.5261999999943,285,9.735179649122788
2013,San Andrés de Sotavento,D1.Mayor a 20 ha - hasta 50 ha,131,3610.2220999999963,214,16.870196728971944
2013,San Andrés de Sotavento,D2.Mayor a 50 ha - hasta 100 ha,31,2347.0009999999979,38,61.763184210526262
2013,San Andrés de Sotavento,D3.Mayor a 100 ha - hasta 200 ha,17,2236.2529999999961,24,93.177208333333169
2013,San Andrés de Sotavento,E1.Mayor a 200 ha - hasta 500 ha,5,1497.9773999999979,5,299.59547999999961
2013,San Antero,"A1.Hasta 0,5 ha",1884,215.70989999999966,2356,0.091557682512733302
2013,San Antero,"A2.Mayor a 0,5 ha - hasta 1 ha",115,90.553100000000001,142,0.63769788732394361
2013,San Antero,"A3.Mayor a 1 ha - hasta 2,5 ha",172,330.77099999999996,208,1.5902451923076921
2013,San Antero,"A4.Mayor a 2,5 ha - hasta 3 ha",43,133.89259999999999,46,2.9107086956521737
2013,San Antero,B1.Mayor a 3 ha - hasta 5 ha,203,842.10110000000043,221,3.810412217194572
2013,San Antero,B2.Mayor a 5 ha - hasta 10 ha,282,1987.1449,360,5.5198469444444447
2013,San Antero,C1.Mayor a 10 ha - hasta 20 ha,246,3275.833299999998,313,10.465921086261975
2013,San Antero,D1.Mayor a 20 ha - hasta 50 ha,95,2775.2778999999969,133,20.866751127819526
2013,San Antero,D2.Mayor a 50 ha - hasta 100 ha,30,1917.895299999997,55,34.870823636363582
2013,San Antero,D3.Mayor a 100 ha - hasta 200 ha,11,1550.9174999999959,23,67.431195652173741
2013,San Antero,E1.Mayor a 200 ha - hasta 500 ha,5,1302.4015999999992,9,144.71128888888882
2013,San Antero,E2.Mayor a 500 ha - hasta 1000 ha,1,565.36749999999904,1,565.36749999999904
2013,San Antero,E4.Mayor a 2000 ha - hasta 5000 ha,1,4931,1,4931
2013,San Bernardo del Viento,"A1.Hasta 0,5 ha",1521,247.42330000000027,1724,0.14351699535962892
2013,San Bernardo del Viento,"A2.Mayor a 0,5 ha - hasta 1 ha",379,325.64949999999965,435,0.74861954022988419
2013,San Bernardo del Viento,"A3.Mayor a 1 ha - hasta 2,5 ha",768,1357.1023000000007,882,1.5386647392290258
2013,San Bernardo del Viento,"A4.Mayor a 2,5 ha - hasta 3 ha",183,554.69970000000001,210,2.6414271428571428
2013,San Bernardo del Viento,B1.Mayor a 3 ha - hasta 5 ha,490,2029.8868999999979,568,3.5737445422535177
2013,San Bernardo del Viento,B2.Mayor a 5 ha - hasta 10 ha,675,5041.7354000000041,855,5.8967665497076069
2013,San Bernardo del Viento,C1.Mayor a 10 ha - hasta 20 ha,426,5909.3757999999925,545,10.842891376146776
2013,San Bernardo del Viento,D1.Mayor a 20 ha - hasta 50 ha,201,5911.0597999999909,366,16.150436612021831
2013,San Bernardo del Viento,D2.Mayor a 50 ha - hasta 100 ha,37,2416.9396999999985,60,40.282328333333311
2013,San Bernardo del Viento,D3.Mayor a 100 ha - hasta 200 ha,11,1379.1108999999979,24,57.462954166666577
2013,San Bernardo del Viento,E1.Mayor a 200 ha - hasta 500 ha,3,2150.9161999999887,3,716.97206666666295
2013,San Bernardo del Viento,E3.Mayor a 1000 ha - hasta 2000 ha,2,4509.6428999999898,2,2254.8214499999949
2013,San Carlos,"A1.Hasta 0,5 ha",363,97.901199999999974,366,0.2674896174863387
2013,San Carlos,"A2.Mayor a 0,5 ha - hasta 1 ha",190,146.48519999999996,190,0.77097473684210505
2013,San Carlos,"A3.Mayor a 1 ha - hasta 2,5 ha",545,986.38749999999959,556,1.7740782374100712
2013,San Carlos,"A4.Mayor a 2,5 ha - hasta 3 ha",141,392.56110000000012,156,2.5164173076923086
2013,San Carlos,B1.Mayor a 3 ha - hasta 5 ha,446,1826.2305999999996,478,3.8205661087866103
2013,San Carlos,B2.Mayor a 5 ha - hasta 10 ha,642,4542.7450999999946,755,6.0168809271523109
2013,San Carlos,C1.Mayor a 10 ha - hasta 20 ha,520,6966.947599999995,644,10.818241614906825
2013,San Carlos,D1.Mayor a 20 ha - hasta 50 ha,337,9667.5706999999984,501,19.296548303393209
2013,San Carlos,D2.Mayor a 50 ha - hasta 100 ha,123,7267.3551999999945,163,44.585001226993832
2013,San Carlos,D3.Mayor a 100 ha - hasta 200 ha,40,4818.8089999999884,82,58.765963414634001
2013,San Carlos,E1.Mayor a 200 ha - hasta 500 ha,14,3760.150699999996,22,170.91594090909072
2013,San Carlos,E2.Mayor a 500 ha - hasta 1000 ha,2,1226.4139,4,306.603475
2013,San José de Uré,"A1.Hasta 0,5 ha",141,58.030399999999815,122,0.4756590163934411
2013,San José de Uré,"A2.Mayor a 0,5 ha - hasta 1 ha",19,11.702399999999999,17,0.68837647058823526
2013,San José de Uré,"A3.Mayor a 1 ha - hasta 2,5 ha",59,143.81779999999986,91,1.5804153846153832
2013,San José de Uré,"A4.Mayor a 2,5 ha - hasta 3 ha",40,134.32649999999984,65,2.0665615384615359
2013,San José de Uré,B1.Mayor a 3 ha - hasta 5 ha,53,212.21629999999988,61,3.4789557377049158
2013,San José de Uré,B2.Mayor a 5 ha - hasta 10 ha,147,953.24969999999973,179,5.3254173184357523
2013,San José de Uré,C1.Mayor a 10 ha - hasta 20 ha,196,3172.9817999999937,244,13.004023770491777
2013,San José de Uré,D1.Mayor a 20 ha - hasta 50 ha,203,4773.7455999999966,193,24.734433160621744
2013,San José de Uré,D2.Mayor a 50 ha - hasta 100 ha,42,1759.9527999999998,26,67.690492307692296
2013,San José de Uré,D3.Mayor a 100 ha - hasta 200 ha,51,5686.7236999999959,50,113.73447399999992
2013,San José de Uré,E1.Mayor a 200 ha - hasta 500 ha,35,7928.6735999999928,110,72.078850909090846
2013,San José de Uré,E2.Mayor a 500 ha - hasta 1000 ha,5,3370.1419999999966,8,421.26774999999958
2013,San José de Uré,E4.Mayor a 2000 ha - hasta 5000 ha,3,,,#DIV/0!
2013,San José de Uré,E5.Mayor a 5000 ha - hasta 10000 ha,1,,,#DIV/0!
2013,San Pelayo,"A1.Hasta 0,5 ha",1815,355.33809999999994,1923,0.18478320332813308
2013,San Pelayo,"A2.Mayor a 0,5 ha - hasta 1 ha",604,493.01569999999953,691,0.71348147612156232
2013,San Pelayo,"A3.Mayor a 1 ha - hasta 2,5 ha",1050,1820.3192999999999,1275,1.4277014117647058
2013,San Pelayo,"A4.Mayor a 2,5 ha - hasta 3 ha",255,713.7716999999999,306,2.3325872549019606
2013,San Pelayo,B1.Mayor a 3 ha - hasta 5 ha,690,2774.1612999999988,910,3.0485289010988996
2013,San Pelayo,B2.Mayor a 5 ha - hasta 10 ha,876,6231.2968000000028,1213,5.1370954657873069
2013,San Pelayo,C1.Mayor a 10 ha - hasta 20 ha,601,8232.3471999999911,848,9.7079566037735745
2013,San Pelayo,D1.Mayor a 20 ha - hasta 50 ha,335,10108.565499999995,518,19.514605212355203
2013,San Pelayo,D2.Mayor a 50 ha - hasta 100 ha,114,7914.2911999999924,160,49.464319999999951
2013,San Pelayo,D3.Mayor a 100 ha - hasta 200 ha,21,2618.8859999999968,37,70.780702702702612
2013,San Pelayo,E1.Mayor a 200 ha - hasta 500 ha,7,1897.5906999999979,11,172.50824545454526
2013,Tierralta,"A1.Hasta 0,5 ha",1666,285.66609999999929,1937,0.14747862674238477
2013,Tierralta,"A2.Mayor a 0,5 ha - hasta 1 ha",263,196.13660000000004,279,0.70299856630824387
2013,Tierralta,"A3.Mayor a 1 ha - hasta 2,5 ha",645,1157.3815000000004,759,1.5248768115942035
2013,Tierralta,"A4.Mayor a 2,5 ha - hasta 3 ha",157,508.20190000000002,184,2.7619668478260873
2013,Tierralta,B1.Mayor a 3 ha - hasta 5 ha,755,2932.6016999999993,1008,2.9093270833333325
2013,Tierralta,B2.Mayor a 5 ha - hasta 10 ha,598,4476.0503999999983,680,6.5824270588235265
2013,Tierralta,C1.Mayor a 10 ha - hasta 20 ha,594,8948.0482999999949,692,12.930705635838143
2013,Tierralta,D1.Mayor a 20 ha - hasta 50 ha,760,25707.842699999928,840,30.604574642857056
2013,Tierralta,D2.Mayor a 50 ha - hasta 100 ha,408,27535.906299999984,469,58.71195373134325
2013,Tierralta,D3.Mayor a 100 ha - hasta 200 ha,215,26266.104299999912,271,96.922894095940634
2013,Tierralta,E1.Mayor a 200 ha - hasta 500 ha,77,19383.573399999968,118,164.26757118644042
2013,Tierralta,E2.Mayor a 500 ha - hasta 1000 ha,25,11964.943499999978,32,373.9044843749993
2013,Tierralta,E3.Mayor a 1000 ha - hasta 2000 ha,5,1593.5864999999999,2,796.79324999999994
2013,Tierralta,E4.Mayor a 2000 ha - hasta 5000 ha,5,3204.1707000000001,1,3204.1707000000001
2013,Tierralta,E6.Mayor a 10000 ha,5,110322.36,1,110322.36
2013,Tuchín,"A1.Hasta 0,5 ha",403,114.64570000000003,359,0.31934735376044576
2013,Tuchín,"A2.Mayor a 0,5 ha - hasta 1 ha",313,240.20500000000004,296,0.81150337837837849
2013,Tuchín,"A3.Mayor a 1 ha - hasta 2,5 ha",509,800.95429999999885,471,1.7005399150743075
2013,Tuchín,"A4.Mayor a 2,5 ha - hasta 3 ha",105,259.75239999999997,97,2.6778597938144326
2013,Tuchín,B1.Mayor a 3 ha - hasta 5 ha,252,919.26260000000025,233,3.9453330472103016
2013,Tuchín,B2.Mayor a 5 ha - hasta 10 ha,248,1673.0944999999977,258,6.4848624031007658
2013,Tuchín,C1.Mayor a 10 ha - hasta 20 ha,125,1600.8076999999989,137,11.68472773722627
2013,Tuchín,D1.Mayor a 20 ha - hasta 50 ha,64,1678.524199999998,89,18.859822471910089
2013,Tuchín,D2.Mayor a 50 ha - hasta 100 ha,14,568.81579999999894,24,23.700658333333291
2013,Tuchín,D3.Mayor a 100 ha - hasta 200 ha,5,851.2414,5,170.24827999999999
2013,Tuchín,E1.Mayor a 200 ha - hasta 500 ha,5,153.80410000000001,5,30.760820000000002
2013,Tuchín,E2.Mayor a 500 ha - hasta 1000 ha,1,748.39999999999895,1,748.39999999999895
2013,Valencia,"A1.Hasta 0,5 ha",502,57.336900000000178,488,0.11749364754098397
2013,Valencia,"A2.Mayor a 0,5 ha - hasta 1 ha",127,135.17570000000006,116,1.1653077586206901
2013,Valencia,"A3.Mayor a 1 ha - hasta 2,5 ha",297,414.59819999999974,290,1.4296489655172404
2013,Valencia,"A4.Mayor a 2,5 ha - hasta 3 ha",59,160.7256999999999,63,2.5512015873015859
2013,Valencia,B1.Mayor a 3 ha - hasta 5 ha,192,743.62779999999998,179,4.1543452513966477
2013,Valencia,B2.Mayor a 5 ha - hasta 10 ha,697,5070.816899999998,737,6.8803485753052893
2013,Valencia,C1.Mayor a 10 ha - hasta 20 ha,585,7580.7186999999822,632,11.994808069620225
2013,Valencia,D1.Mayor a 20 ha - hasta 50 ha,442,11225.205299999972,458,24.509181877729198
2013,Valencia,D2.Mayor a 50 ha - hasta 100 ha,203,11365.96639999999,228,49.850729824561363
